"Polling_District","UPRN"
"AB1",64021632
"AB1",64021633
"AB1",64021634
"AB1",64021635
"AB1",64021636
"AB1",64021637
"AB1",64021638
"AB1",64021639
"AB1",64021640
"AB1",64021641
"AB1",64021642
"AB1",64021643
"AB1",64021644
"AB1",64021645
"AB1",64021646
"AB1",64021647
"AB1",64021648
"AB1",64021649
"AB1",64021650
"AB1",64021651
"AB1",64021652
"AB1",64021653
"AB1",64021654
"AB1",64021769
"AB1",64021771
"AB1",64021772
"AB1",64021775
"AB1",64021809
"AB1",64021837
"AB1",64021920
"AB1",64021921
"AB1",64021922
"AB1",64021923
"AB1",64021924
"AB1",64021925
"AB1",64021930
"AB1",64021941
"AB1",64021942
"AB1",64021944
"AB1",64021981
"AB1",64021991
"AB1",64021992
"AB1",64021993
"AB1",64021994
"AB1",64022019
"AB1",64022023
"AB1",64022027
"AB1",64022029
"AB1",64022030
"AB1",64022031
"AB1",64022032
"AB1",64022033
"AB1",64022034
"AB1",64022035
"AB1",64022036
"AB1",64022037
"AB1",64022038
"AB1",64022039
"AB1",64022040
"AB1",64022041
"AB1",64022042
"AB1",64022043
"AB1",64022044
"AB1",64022045
"AB1",64022046
"AB1",64022047
"AB1",64022048
"AB1",64022049
"AB1",64022050
"AB1",64022051
"AB1",64022052
"AB1",64022053
"AB1",64022054
"AB1",64022055
"AB1",64022056
"AB1",64022057
"AB1",64022058
"AB1",64022059
"AB1",64022060
"AB1",64022061
"AB1",64022062
"AB1",64022063
"AB1",64022064
"AB1",64022066
"AB1",64022067
"AB1",64022068
"AB1",64022069
"AB1",64022070
"AB1",64022071
"AB1",64022073
"AB1",64022076
"AB1",64022084
"AB1",64022086
"AB1",64022087
"AB1",64022088
"AB1",64022089
"AB1",64022090
"AB1",64022091
"AB1",64022092
"AB1",64022093
"AB1",64022095
"AB1",64022096
"AB1",64022097
"AB1",64022098
"AB1",64022099
"AB1",64022100
"AB1",64022101
"AB1",64022102
"AB1",64022103
"AB1",64022104
"AB1",64022106
"AB1",64022107
"AB1",64022108
"AB1",64022109
"AB1",64022110
"AB1",64022111
"AB1",64022112
"AB1",64022113
"AB1",64022968
"AB1",64022969
"AB1",64022970
"AB1",64022971
"AB1",64022972
"AB1",64022973
"AB1",64022974
"AB1",64022975
"AB1",64022976
"AB1",64022977
"AB1",64022978
"AB1",64022979
"AB1",64022980
"AB1",64022981
"AB1",64022982
"AB1",64022983
"AB1",64022984
"AB1",64022985
"AB1",64022986
"AB1",64022987
"AB1",64022988
"AB1",64022989
"AB1",64022990
"AB1",64022991
"AB1",64022992
"AB1",64022993
"AB1",64022994
"AB1",64022995
"AB1",64022996
"AB1",64022997
"AB1",64022998
"AB1",64022999
"AB1",64023000
"AB1",64023001
"AB1",64023002
"AB1",64023003
"AB1",64023004
"AB1",64023005
"AB1",64023099
"AB1",64023100
"AB1",64023101
"AB1",64023102
"AB1",64023103
"AB1",64023104
"AB1",64023105
"AB1",64023106
"AB1",64023107
"AB1",64023108
"AB1",64023109
"AB1",64023110
"AB1",64023111
"AB1",64023112
"AB1",64023113
"AB1",64023114
"AB1",64023115
"AB1",64023116
"AB1",64023117
"AB1",64023118
"AB1",64023119
"AB1",64023120
"AB1",64023123
"AB1",64023124
"AB1",64023125
"AB1",64023126
"AB1",64023129
"AB1",64023130
"AB1",64023133
"AB1",64023134
"AB1",64023135
"AB1",64023136
"AB1",64023138
"AB1",64023139
"AB1",64023140
"AB1",64023142
"AB1",64023143
"AB1",64023144
"AB1",64023145
"AB1",64023146
"AB1",64023147
"AB1",64023148
"AB1",64023150
"AB1",64023151
"AB1",64023152
"AB1",64023153
"AB1",64023154
"AB1",64023155
"AB1",64023157
"AB1",64023158
"AB1",64023159
"AB1",64023160
"AB1",64023161
"AB1",64023162
"AB1",64023164
"AB1",64023165
